"PlayerName","Team","POS","ADP","IP","mW","mERA","mWHIP","mK9","mQS","mSVHLD","PTS","aPOS","Dollars"
"Paul Fry","BAL","RP","999.0","58","($0.4)","($0.3)","($0.7)","($0.5)","($0.4)","($0.1)","($2.4)","$1.8","$0.0"
"Julian Merryweather","TOR","RP","598.9","53","($0.4)","($0.4)","($0.4)","($0.3)","($0.3)","($0.5)","($2.4)","$1.8","$0.0"
"Enoli Paredes","HOU","RP","999.0","58","($0.4)","($0.6)","($0.7)","($0.3)","($0.4)","$0.0","($2.4)","$1.8","$0.0"
"Ty Buttrey","LAA","RP","599.6","59","($0.4)","($0.6)","($0.4)","($0.6)","($0.4)","$0.0","($2.4)","$1.8","$0.0"
"Andrew Miller","STL","RP","579.8","63","($0.4)","($0.6)","($0.7)","($0.6)","($0.4)","$0.1","($2.5)","$1.8","($0.1)"
"Collin McHugh","TBR","RP","596.6","67","($0.4)","($0.8)","($0.4)","($0.5)","($0.3)","($0.1)","($2.5)","$1.8","($0.1)"
"Sean Newcomb","ATL","RP","999.0","44","($0.5)","($0.4)","($0.5)","($0.3)","($0.4)","($0.4)","($2.5)","$1.8","($0.1)"
"Archie Bradley","PHI","RP","250.8","67","($0.4)","($0.9)","($0.7)","($0.6)","($0.4)","$0.4","($2.5)","$1.8","($0.1)"
"Justin Wilson","NYY","RP","601.0","60","($0.4)","($0.7)","($0.8)","($0.2)","($0.4)","$0.0","($2.6)","$1.8","($0.2)"
"James Paxton","SEA","SP","236.0","133","$0.4","($1.2)","($0.3)","($1.1)","$0.5","($0.7)","($2.4)","$1.8","($0.2)"
"Darwinzon Hernandez","BOS","RP","585.7","53","($0.5)","($0.7)","($1.1)","$0.2","($0.4)","($0.1)","($2.6)","$1.8","($0.2)"
"Jason Adam","CHC","RP","600.7","54","($0.5)","($0.9)","($0.6)","($0.2)","($0.4)","($0.1)","($2.6)","$1.8","($0.2)"
"Codi Heuer","CHW","RP","999.0","58","($0.4)","($0.5)","($0.6)","($0.6)","($0.4)","$0.0","($2.6)","$1.8","($0.2)"
"Daniel Hudson","WSN","RP","529.5","61","($0.4)","($1.1)","($0.7)","($0.3)","($0.4)","$0.4","($2.6)","$1.8","($0.2)"
"Jonathan Hernandez","TEX","RP","425.6","64","($0.4)","($0.8)","($0.8)","($0.5)","($0.4)","$0.3","($2.6)","$1.8","($0.2)"
"J.B. Wendelken","OAK","RP","551.8","56","($0.5)","($0.6)","($0.5)","($0.5)","($0.4)","($0.2)","($2.6)","$1.8","($0.2)"
"Kyle Finnegan","WSN","RP","999.0","42","($0.6)","($0.4)","($0.6)","($0.3)","($0.4)","($0.4)","($2.6)","$1.8","($0.2)"
"Jacob Barnes","NYM","RP","999.0","38","($0.6)","($0.3)","($0.4)","($0.3)","($0.4)","($0.5)","($2.6)","$1.8","($0.2)"
"Jesse Hahn","KCR","RP","596.9","56","($0.5)","($0.6)","($0.6)","($0.7)","($0.4)","$0.2","($2.6)","$1.8","($0.2)"
"Ryan Helsley","STL","RP","600.6","56","($0.5)","($0.8)","($0.7)","($0.4)","($0.4)","$0.0","($2.7)","$1.8","($0.3)"
"Jeff Hoffman","CIN","RP","600.3","65","($0.4)","($1.1)","($0.5)","($0.3)","($0.3)","($0.1)","($2.7)","$1.8","($0.3)"
"Sonny Gray","CIN","SP","70.0","168","$0.9","($1.3)","($1.5)","($0.7)","$0.9","($0.7)","($2.5)","$1.8","($0.3)"
"JoJo Romero","PHI","RP","999.0","42","($0.5)","($0.3)","($0.4)","($0.5)","($0.4)","($0.5)","($2.7)","$1.8","($0.3)"
"Rowan Wick","CHC","RP","549.9","50","($0.5)","($0.6)","($0.6)","($0.4)","($0.4)","($0.2)","($2.7)","$1.8","($0.3)"
"Joe Smith","HOU","RP","999.0","56","($0.4)","($0.6)","($0.4)","($0.8)","($0.4)","($0.1)","($2.7)","$1.8","($0.3)"
"Ryan Brasier","BOS","RP","600.9","58","($0.4)","($1.0)","($0.5)","($0.4)","($0.4)","$0.0","($2.7)","$1.8","($0.3)"
"Ryan Tepera","CHC","RP","600.5","56","($0.4)","($0.8)","($0.7)","($0.5)","($0.4)","$0.0","($2.7)","$1.8","($0.3)"
"Sam Howard","PIT","RP","999.0","38","($0.6)","($0.4)","($0.4)","($0.3)","($0.4)","($0.6)","($2.7)","$1.8","($0.3)"
"Mark Melancon","SDP","RP","247.6","60","($0.4)","($0.3)","($0.7)","($1.2)","($0.4)","$0.2","($2.7)","$1.8","($0.3)"
"David Bednar","PIT","RP","999.0","46","($0.5)","($0.6)","($0.6)","($0.4)","($0.4)","($0.3)","($2.8)","$1.8","($0.3)"
"Keynan Middleton","SEA","RP","600.4","56","($0.5)","($0.9)","($0.6)","($0.2)","($0.4)","($0.1)","($2.8)","$1.8","($0.3)"
"Patrick Sandoval","LAA","SP","587.9","37","($0.5)","($0.3)","($0.3)","($0.4)","($0.3)","($0.7)","($2.6)","$1.8","($0.3)"
"Luke Jackson","ATL","RP","600.5","38","($0.6)","($0.4)","($0.5)","($0.4)","($0.4)","($0.5)","($2.8)","$1.8","($0.4)"
"Ryan Borucki","TOR","RP","600.7","56","($0.4)","($0.6)","($0.6)","($0.6)","($0.4)","($0.2)","($2.8)","$1.8","($0.4)"
"Michael Feliz","PIT","RP","999.0","60","($0.5)","($1.1)","($0.8)","($0.3)","($0.4)","$0.2","($2.8)","$1.8","($0.4)"
"Brooks Raley","HOU","RP","999.0","54","($0.5)","($0.7)","($0.4)","($0.7)","($0.4)","($0.2)","($2.9)","$1.8","($0.4)"
"Evan Marshall","CHW","RP","599.7","60","($0.4)","($0.7)","($0.7)","($0.8)","($0.4)","$0.1","($2.9)","$1.8","($0.4)"
"John Curtiss","MIA","RP","600.2","59","($0.5)","($0.7)","($0.7)","($0.5)","($0.4)","$0.0","($2.9)","$1.8","($0.4)"
